geography,geography_id_name,geography_id,geography_name,geography_key
tract,GEOID,6075017801,"Census Tract 178.01, San Francisco County, California",97
tract,GEOID,6075017803,"Census Tract 178.03, San Francisco County, California",98
tract,GEOID,6075017804,"Census Tract 178.04, San Francisco County, California",99
tract,GEOID,6075017903,"Census Tract 179.03, San Francisco County, California",100
tract,GEOID,6075018000,"Census Tract 180, San Francisco County, California",101
tract,GEOID,6075020101,"Census Tract 201.01, San Francisco County, California",102
tract,GEOID,6075020102,"Census Tract 201.02, San Francisco County, California",103
tract,GEOID,6075020201,"Census Tract 202.01, San Francisco County, California",104
tract,GEOID,6075020202,"Census Tract 202.02, San Francisco County, California",105
zcta,GEOID,94123,94123,106
tract,GEOID,6075020300,"Census Tract 203, San Francisco County, California",107
tract,GEOID,6075020401,"Census Tract 204.01, San Francisco County, California",108
tract,GEOID,6075020402,"Census Tract 204.02, San Francisco County, California",109
tract,GEOID,6075020500,"Census Tract 205, San Francisco County, California",110
tract,GEOID,6075020601,"Census Tract 206.01, San Francisco County, California",111
tract,GEOID,6075020602,"Census Tract 206.02, San Francisco County, California",112
tract,GEOID,6075020701,"Census Tract 207.01, San Francisco County, California",113
tract,GEOID,6075020702,"Census Tract 207.02, San Francisco County, California",114
tract,GEOID,6075020801,"Census Tract 208.01, San Francisco County, California",115
tract,GEOID,6075020802,"Census Tract 208.02, San Francisco County, California",116
tract,GEOID,6075020900,"Census Tract 209, San Francisco County, California",117
zcta,GEOID,94124,94124,118
tract,GEOID,6075021000,"Census Tract 210, San Francisco County, California",119
tract,GEOID,6075021100,"Census Tract 211, San Francisco County, California",120
tract,GEOID,6075021200,"Census Tract 212, San Francisco County, California",121
tract,GEOID,6075021300,"Census Tract 213, San Francisco County, California",122
tract,GEOID,6075021400,"Census Tract 214, San Francisco County, California",123
tract,GEOID,6075021500,"Census Tract 215, San Francisco County, California",124
tract,GEOID,6075021600,"Census Tract 216, San Francisco County, California",125
tract,GEOID,6075021700,"Census Tract 217, San Francisco County, California",126
tract,GEOID,6075021800,"Census Tract 218, San Francisco County, California",127
tract,GEOID,6075022600,"Census Tract 226, San Francisco County, California",128
tract,GEOID,6075022702,"Census Tract 227.02, San Francisco County, California",129
tract,GEOID,6075022704,"Census Tract 227.04, San Francisco County, California",130
tract,GEOID,6075022801,"Census Tract 228.01, San Francisco County, California",131
tract,GEOID,6075022802,"Census Tract 228.02, San Francisco County, California",132
tract,GEOID,6075022803,"Census Tract 228.03, San Francisco County, California",133
tract,GEOID,6075022901,"Census Tract 229.01, San Francisco County, California",134
tract,GEOID,6075022902,"Census Tract 229.02, San Francisco County, California",135
tract,GEOID,6075022903,"Census Tract 229.03, San Francisco County, California",136
tract,GEOID,6075023001,"Census Tract 230.01, San Francisco County, California",137
tract,GEOID,6075023003,"Census Tract 230.03, San Francisco County, California",138
tract,GEOID,6075023102,"Census Tract 231.02, San Francisco County, California",139
tract,GEOID,6075023103,"Census Tract 231.03, San Francisco County, California",140
tract,GEOID,6075023200,"Census Tract 232, San Francisco County, California",141
zcta,GEOID,94127,94127,142
tract,GEOID,6075023300,"Census Tract 233, San Francisco County, California",143
tract,GEOID,6075023400,"Census Tract 234, San Francisco County, California",144
tract,GEOID,6075025100,"Census Tract 251, San Francisco County, California",145
tract,GEOID,6075025200,"Census Tract 252, San Francisco County, California",146
tract,GEOID,6075025300,"Census Tract 253, San Francisco County, California",147
tract,GEOID,6075025401,"Census Tract 254.01, San Francisco County, California",148
tract,GEOID,6075025402,"Census Tract 254.02, San Francisco County, California",149
tract,GEOID,6075025403,"Census Tract 254.03, San Francisco County, California",150
tract,GEOID,6075025501,"Census Tract 255.01, San Francisco County, California",151
tract,GEOID,6075025502,"Census Tract 255.02, San Francisco County, California",152
tract,GEOID,6075025600,"Census Tract 256, San Francisco County, California",153
tract,GEOID,6075025701,"Census Tract 257.01, San Francisco County, California",154
tract,GEOID,6075025702,"Census Tract 257.02, San Francisco County, California",155
tract,GEOID,6075025800,"Census Tract 258, San Francisco County, California",156
tract,GEOID,6075025900,"Census Tract 259, San Francisco County, California",157
tract,GEOID,6075026001,"Census Tract 260.01, San Francisco County, California",158
tract,GEOID,6075026002,"Census Tract 260.02, San Francisco County, California",159
tract,GEOID,6075026003,"Census Tract 260.03, San Francisco County, California",160
tract,GEOID,6075026004,"Census Tract 260.04, San Francisco County, California",161
tract,GEOID,6075026100,"Census Tract 261, San Francisco County, California",162
tract,GEOID,6075026201,"Census Tract 262.01, San Francisco County, California",163
tract,GEOID,6075026202,"Census Tract 262.02, San Francisco County, California",164
tract,GEOID,6075026301,"Census Tract 263.01, San Francisco County, California",165
zcta,GEOID,94129,94129,166
tract,GEOID,6075026302,"Census Tract 263.02, San Francisco County, California",167
tract,GEOID,6075026303,"Census Tract 263.03, San Francisco County, California",168
tract,GEOID,6075026401,"Census Tract 264.01, San Francisco County, California",169
tract,GEOID,6075026402,"Census Tract 264.02, San Francisco County, California",170
tract,GEOID,6075026403,"Census Tract 264.03, San Francisco County, California",171
tract,GEOID,6075026404,"Census Tract 264.04, San Francisco County, California",172
tract,GEOID,6075030101,"Census Tract 301.01, San Francisco County, California",173
tract,GEOID,6075030102,"Census Tract 301.02, San Francisco County, California",174
tract,GEOID,6075030201,"Census Tract 302.01, San Francisco County, California",175
tract,GEOID,6075030202,"Census Tract 302.02, San Francisco County, California",176
tract,GEOID,6075030301,"Census Tract 303.01, San Francisco County, California",177
zcta,GEOID,94130,94130,178
tract,GEOID,6075030302,"Census Tract 303.02, San Francisco County, California",179
tract,GEOID,6075030400,"Census Tract 304, San Francisco County, California",180
tract,GEOID,6075030500,"Census Tract 305, San Francisco County, California",181
tract,GEOID,6075030600,"Census Tract 306, San Francisco County, California",182
tract,GEOID,6075030700,"Census Tract 307, San Francisco County, California",183
tract,GEOID,6075030800,"Census Tract 308, San Francisco County, California",184
tract,GEOID,6075030900,"Census Tract 309, San Francisco County, California",185
tract,GEOID,6075031000,"Census Tract 310, San Francisco County, California",186
tract,GEOID,6075031100,"Census Tract 311, San Francisco County, California",187
tract,GEOID,6075031201,"Census Tract 312.01, San Francisco County, California",188
tract,GEOID,6075031202,"Census Tract 312.02, San Francisco County, California",189
tract,GEOID,6075031301,"Census Tract 313.01, San Francisco County, California",190
tract,GEOID,6075031302,"Census Tract 313.02, San Francisco County, California",191
tract,GEOID,6075031401,"Census Tract 314.01, San Francisco County, California",192
tract,GEOID,6075031402,"Census Tract 314.02, San Francisco County, California",193
tract,GEOID,6075032601,"Census Tract 326.01, San Francisco County, California",194
tract,GEOID,6075032602,"Census Tract 326.02, San Francisco County, California",195
tract,GEOID,6075032700,"Census Tract 327, San Francisco County, California",196
tract,GEOID,6075032801,"Census Tract 328.01, San Francisco County, California",197
tract,GEOID,6075032802,"Census Tract 328.02, San Francisco County, California",198
tract,GEOID,6075032901,"Census Tract 329.01, San Francisco County, California",199
tract,GEOID,6075032902,"Census Tract 329.02, San Francisco County, California",200
tract,GEOID,6075033001,"Census Tract 330.01, San Francisco County, California",201
zcta,GEOID,94131,94131,202
tract,GEOID,6075033002,"Census Tract 330.02, San Francisco County, California",203
tract,GEOID,6075033100,"Census Tract 331, San Francisco County, California",204
tract,GEOID,6075033201,"Census Tract 332.01, San Francisco County, California",205
tract,GEOID,6075033203,"Census Tract 332.03, San Francisco County, California",206
tract,GEOID,6075033204,"Census Tract 332.04, San Francisco County, California",207
tract,GEOID,6075035101,"Census Tract 351.01, San Francisco County, California",208
tract,GEOID,6075035102,"Census Tract 351.02, San Francisco County, California",209
tract,GEOID,6075035201,"Census Tract 352.01, San Francisco County, California",210
tract,GEOID,6075035202,"Census Tract 352.02, San Francisco County, California",211
tract,GEOID,6075035300,"Census Tract 353, San Francisco County, California",212
tract,GEOID,6075035400,"Census Tract 354, San Francisco County, California",213
zcta,GEOID,94132,94132,214
tract,GEOID,6075040100,"Census Tract 401, San Francisco County, California",215
tract,GEOID,6075040200,"Census Tract 402, San Francisco County, California",216
tract,GEOID,6075042601,"Census Tract 426.01, San Francisco County, California",217
tract,GEOID,6075042602,"Census Tract 426.02, San Francisco County, California",218
tract,GEOID,6075042700,"Census Tract 427, San Francisco County, California",219
tract,GEOID,6075042800,"Census Tract 428, San Francisco County, California",220
tract,GEOID,6075045100,"Census Tract 451, San Francisco County, California",221
tract,GEOID,6075045201,"Census Tract 452.01, San Francisco County, California",222
tract,GEOID,6075045202,"Census Tract 452.02, San Francisco County, California",223
tract,GEOID,6075047600,"Census Tract 476, San Francisco County, California",224
tract,GEOID,6075047701,"Census Tract 477.01, San Francisco County, California",225
tract,GEOID,6075047702,"Census Tract 477.02, San Francisco County, California",226
tract,GEOID,6075047801,"Census Tract 478.01, San Francisco County, California",227
tract,GEOID,6075047802,"Census Tract 478.02, San Francisco County, California",228
tract,GEOID,6075047902,"Census Tract 479.02, San Francisco County, California",229
tract,GEOID,6075047903,"Census Tract 479.03, San Francisco County, California",230
tract,GEOID,6075047904,"Census Tract 479.04, San Francisco County, California",231
tract,GEOID,6075060100,"Census Tract 601, San Francisco County, California",232
tract,GEOID,6075060400,"Census Tract 604, San Francisco County, California",233
tract,GEOID,6075060502,"Census Tract 605.02, San Francisco County, California",234
tract,GEOID,6075060701,"Census Tract 607.01, San Francisco County, California",235
tract,GEOID,6075060702,"Census Tract 607.02, San Francisco County, California",236
tract,GEOID,6075060703,"Census Tract 607.03, San Francisco County, California",237
zcta,GEOID,94133,94133,238
tract,GEOID,6075061000,"Census Tract 610, San Francisco County, California",239
tract,GEOID,6075061101,"Census Tract 611.01, San Francisco County, California",240
tract,GEOID,6075061102,"Census Tract 611.02, San Francisco County, California",241
tract,GEOID,6075061200,"Census Tract 612, San Francisco County, California",242
tract,GEOID,6075061401,"Census Tract 614.01, San Francisco County, California",243
tract,GEOID,6075061402,"Census Tract 614.02, San Francisco County, California",244
tract,GEOID,6075061501,"Census Tract 615.01, San Francisco County, California",245
tract,GEOID,6075061502,"Census Tract 615.02, San Francisco County, California",246
tract,GEOID,6075061503,"Census Tract 615.03, San Francisco County, California",247
tract,GEOID,6075061504,"Census Tract 615.04, San Francisco County, California",248
tract,GEOID,6075061505,"Census Tract 615.05, San Francisco County, California",249
zcta,GEOID,94134,94134,250
tract,GEOID,6075061506,"Census Tract 615.06, San Francisco County, California",251
tract,GEOID,6075061507,"Census Tract 615.07, San Francisco County, California",252
tract,GEOID,6075061508,"Census Tract 615.08, San Francisco County, California",253
tract,GEOID,6075980200,"Census Tract 9802, San Francisco County, California",254
tract,GEOID,6075980300,"Census Tract 9803, San Francisco County, California",255
tract,GEOID,6075980401,"Census Tract 9804.01, San Francisco County, California",256
tract,GEOID,6075980501,"Census Tract 9805.01, San Francisco County, California",257
tract,GEOID,6075980600,"Census Tract 9806, San Francisco County, California",258
tract,GEOID,6075980900,"Census Tract 9809, San Francisco County, California",259
tract,GEOID,6075990100,"Census Tract 9901, San Francisco County, California",260
tract,GEOID,6075990200,"Census Tract 9902, San Francisco County, California",261
neighborhood,,nan,Haight Ashbury,262
neighborhood,,nan,Bayview Hunters Point,263
neighborhood,,nan,Bernal Heights,264
neighborhood,,nan,Castro/Upper Market,265
neighborhood,,nan,Chinatown,266
neighborhood,,nan,Excelsior,267
neighborhood,,nan,Financial District/South Beach,268
neighborhood,,nan,Glen Park,269
neighborhood,,nan,Golden Gate Park,270
neighborhood,,nan,Hayes Valley,271
neighborhood,,nan,Inner Richmond,272
neighborhood,,nan,Inner Sunset,273
neighborhood,,nan,Japantown,274
neighborhood,,nan,Lakeshore,275
neighborhood,,nan,Lincoln Park,276
neighborhood,,nan,Lone Mountain/USF,277
neighborhood,,nan,Marina,278
neighborhood,,nan,McLaren Park,279
neighborhood,,nan,Mission,280
neighborhood,,nan,Mission Bay,281
neighborhood,,nan,Nob Hill,282
neighborhood,,nan,Noe Valley,283
neighborhood,,nan,North Beach,284
neighborhood,,nan,Oceanview/Merced/Ingleside,285
neighborhood,,nan,Outer Mission,286
neighborhood,,nan,Outer Richmond,287
neighborhood,,nan,Pacific Heights,288
neighborhood,,nan,Portola,289
neighborhood,,nan,Potrero Hill,290
neighborhood,,nan,Presidio,291
neighborhood,,nan,Presidio Heights,292
neighborhood,,nan,Russian Hill,293
neighborhood,,nan,South of Market,294
neighborhood,,nan,Sunset/Parkside,295
neighborhood,,nan,Tenderloin,296
neighborhood,,nan,The Farallones,297
neighborhood,,nan,Treasure Island,298
neighborhood,,nan,Twin Peaks,299
neighborhood,,nan,Visitacion Valley,300
neighborhood,,nan,West of Twin Peaks,301
neighborhood,,nan,Western Addition,302
zcta,GEOID,94158,94158,303
neighborhood,,nan,Seacliff,304
us,GEOID,1,United States,305
supervisor districts,,nan,SUPERVISORIAL DISTRICT 9,306
zcta,GEOID,94102,94102,307
zcta,GEOID,94103,94103,308
zcta,GEOID,94104,94104,309
zcta,GEOID,94105,94105,310
zcta,GEOID,94107,94107,311
zcta,GEOID,94108,94108,312
zcta,GEOID,94109,94109,313
zcta,GEOID,94110,94110,314
zcta,GEOID,94111,94111,315
zcta,GEOID,94112,94112,316
zcta,GEOID,94114,94114,317
tract,GEOID,6075012202,Census Tract 122.02; San Francisco County; California,318
tract,GEOID,6075010101,Census Tract 101.01,319
tract,GEOID,6075010102,Census Tract 101.02,320
tract,GEOID,6075010201,Census Tract 102.01,321
tract,GEOID,6075010202,Census Tract 102.02,322
tract,GEOID,6075010401,Census Tract 104.01,323
tract,GEOID,6075010402,Census Tract 104.02,324
tract,GEOID,6075010701,Census Tract 107.01,325
tract,GEOID,6075010702,Census Tract 107.02,326
tract,GEOID,6075010901,Census Tract 109.01,327
tract,GEOID,6075010902,Census Tract 109.02,328
tract,GEOID,6075011001,Census Tract 110.01,329
tract,GEOID,6075011002,Census Tract 110.02,330
